"HolderAddress","Unique Tokens","Quantity","PendingBalanceUpdate"
"0x3269250d335183f7238cde8f10b114bc4c0c9fae","1","1","No"
"0x99567cca28e9c61185617f225a7a7744cee2c2f4","1","1","No"
"0x49b48cca1ee8ff32b1405f1a1172bf0b5bd5ae9d","1","1","No"
"0x6749f1a7c7f0f3a4d44abfc881e4796b59df2f06","1","1","No"
"0x8311bdaafbe4b5d28edd37020f0edde096b6ef6a","1","1","No"
"0xabe151e6753b3fc96954cea3e677babc415cee8a","1","1","No"
"0x50feb3a574797d33d5fc6c43e1e7ba964ded5955","1","1","No"
"0x6c031350a7c8dc7864521074bf65d509d45b5691","1","1","No"
"0xdcb87abf8ada15ebb94b29526a152b29c27fba3b","1","1","No"
"0x3a5b30f14df56eedcc2ba0d2679b3b09bc05afc1","1","1","No"
"0xb3d07b07a1b22019b2dd50f7c1ea49408e52bf19","1","1","No"
"0x06b2d84b6ac9d5fe319a77b9132d34b30276e6c5","1","1","No"
"0xffd4dae0d7d8ddb6f408dca0a47763ae3a57f4ce","1","1","No"
"0xa7e5a837382c4b2a484bd2afadc8b5a5f6d74e87","1","1","No"
"0xfc663573f338c4ed5bc90015540aed148bbefe69","1","1","No"
"0xcd43aad533e663b726dae4a08185e9db8ebc9f6f","1","1","No"
"0x60e33f77532d6b290123082ee2ac90a321a820e3","1","1","No"
"0x3b5d43139b517d53b5935fbc8de1ac4609f88826","1","1","No"
"0x74512dd99839132a3221edba699073db96aa93c6","1","1","No"
"0x8473ed4616eb1c681a5f801c9eca9ba2548373bf","1","1","No"
"0x10075da1dae85b28be7e4d6df2d4a055094382fb","1","1","No"
"0x08d882d50ffe6149d69b74c19d7b550bf0260012","1","1","No"
"0x97b245bc5cef7d36f53eac9d39a164343b8b6761","1","1","No"
"0xa92a8d469af6d528585e9a451e03076cdf18c579","1","1","No"
"0x4b4afb9948366474dddba6c304f6506ff719f054","1","1","No"
